text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"can inﬂuence the growth of H ii regions via metal line cooling and
UV absorption. We model these eﬀects in star-forming regions containing massive stars. We compute stellar feedback from
photoionization and radiation pressure (RP) using Monte Carlo radiative transfer coupled with hydrodynamics, including stellar
and diﬀuse radiation ﬁelds. We follow a 10",9,TeXGyreTermesX-Regular,,356,126
5,7,TeXGyreTermesX-Regular,,1,1
M,9,TeXGyreTermesX-Regular,,1,1
,7,txsys,,0,0
turbulent cloud with,9,TeXGyreTermesX-Regular,,20,20
𝑍,9,NewTXMI,,1,1
/,9,txsys,,1,1
Z,9,TeXGyreTermesX-Regular,,1,1
,7,txsys,,0,0
=,9,txmiaX,,1,1
"2, 1, 0.5, 0.1 and",9,TeXGyreTermesX-Regular,,18,18
𝑓,9,NewTXMI,,1,1
d,7,TeXGyreTermesX-Regular,,1,1
=,9,txmiaX,,1,1
0,9,TeXGyreTermesX-Regular,,1,1
.,9,NewTXMI,,1,1
01,9,TeXGyreTermesX-Regular,,2,2
𝑍,9,NewTXMI,,1,1
/,9,txsys,,1,1
Z,9,TeXGyreTermesX-Regular,,1,1
,7,txsys,,0,0
with a cluster-sink,9,TeXGyreTermesX-Regular,,19,19
particle method for star formation. The models evolve for at least 1,9,TeXGyreTermesX-Regular,,68,68
.,9,NewTXMI,,1,1
5 Myr under feedback. Lower,9,TeXGyreTermesX-Regular,,27,27
𝑍,9,NewTXMI,,1,1
"results in higher temperatures
and therefore larger H ii regions. For",9,TeXGyreTermesX-Regular,,69,38
𝑍,9,NewTXMI,,1,1
,9,MSAM10,,0,0
Z,9,TeXGyreTermesX-Regular,,1,1
,7,txsys,,0,0
", radiation pressure",9,TeXGyreTermesX-Regular,,20,20
𝑃,9,NewTXMI,,1,1
rad,7,TeXGyreTermesX-Regular,,3,3
can dominate locally over the gas pressure,9,TeXGyreTermesX-Regular,,42,42
𝑃,9,NewTXMI,,1,1
gas,7,TeXGyreTermesX-Regular,,3,3
"in the inner
half-parsec around sink particles. Globally, the ratio of",9,TeXGyreTermesX-Regular,,70,57
𝑃,9,NewTXMI,,1,1
rad,7,TeXGyreTermesX-Regular,,3,3
/,9,txsys,,1,1
𝑃,9,NewTXMI,,1,1
gas,7,TeXGyreTermesX-Regular,,3,3
is around 1 (2 Z,9,TeXGyreTermesX-Regular,,16,16
,7,txsys,,0,0
"), 0.3 (Z",9,TeXGyreTermesX-Regular,,9,9
,7,txsys,,0,0
"), 0.1 (0",9,TeXGyreTermesX-Regular,,9,9
.,9,NewTXMI,,1,1
5 Z,9,TeXGyreTermesX-Regular,,3,3
,7,txsys,,0,0
"), and 0.03 (0",9,TeXGyreTermesX-Regular,,14,14
.,9,NewTXMI,,1,1
1 Z,9,TeXGyreTermesX-Regular,,3,3
,7,txsys,,0,0
"). In
the solar model, excluding RP results in an ionized volume several times smaller than the ﬁducial model with both mechanisms.
Excluding RP",9,TeXGyreTermesX-Regular,,144,125
and,9,TeXGyreTermesX-Italic,,3,3
UV attenuation by dust results in a,9,TeXGyreTermesX-Regular,,35,35
larger,9,TeXGyreTermesX-Italic,,6,6
"ionized volume than the ﬁducial case. That is, UV absorption
hinders growth more than RP helps it. The radial expansion velocity of ionized gas reaches",9,TeXGyreTermesX-Regular,,151,90
+,9,txsys,,1,1
15 km s,9,TeXGyreTermesX-Regular,,7,7
−,7,txsys,,1,1
1,7,TeXGyreTermesX-Regular,,1,1
"outwards, while neutral
gas has inward velocities for most of the runtime, except for 0",9,TeXGyreTermesX-Regular,,87,63
.,9,NewTXMI,,1,1
1 Z,9,TeXGyreTermesX-Regular,,3,3
,7,txsys,,0,0
which exceeds,9,TeXGyreTermesX-Regular,,13,13
+,9,txsys,,1,1
4 km s,9,TeXGyreTermesX-Regular,,6,6
−,7,txsys,,1,1
1,7,TeXGyreTermesX-Regular,,1,1
.,9,TeXGyreTermesX-Regular,,1,1
𝑍,9,NewTXMI,,1,1
and,9,TeXGyreTermesX-Regular,,3,3
𝑓,9,NewTXMI,,1,1
d,7,TeXGyreTermesX-Regular,,1,1
"do not signiﬁcantly alter
the star formation eﬃciency, rate, or cluster half-mass radius, with the exception of 0",9,TeXGyreTermesX-Regular,,113,87
.,9,NewTXMI,,1,1
1 Z,9,TeXGyreTermesX-Regular,,3,3
,7,txsys,,0,0
"due to the earlier expulsion of neutral
gas.",9,TeXGyreTermesX-Regular,,44,39
Key words:,9,TeXGyreTermesX-Bold,,10,10
hydrodynamics – radiative transfer – stars: massive – HII regions – ISM: clouds,9,TeXGyreTermesX-Regular,,79,79
1 INTRODUCTION,8,TeXGyreTermesX-Bold,,14,14
"Stars form in clusters and associations inside giant molecular clouds
(GMCs). In the Milky Way, the star formation eﬃciency (SFE; the
proportion of gas mass converted into stars) is of the order 10 to 30
per cent at the cluster scale and a few per cent at the global GMC
scale (Lada & Lada 2003). This ineﬃciency may be explained by
stellar feedback driven primarily by O stars (Matzner 2002). These
massive stars are sources of energy and momentum for the interstellar",8,TeXGyreTermesX-Regular,,469,69
"medium via mechanisms such as photoionization, radiation pressure,
stellar winds, and supernovae (e.g. see the review by Dale 2015). In
this paper, we focus on the radiative processes.",8,TeXGyreTermesX-Regular,,184,68
"There remains much uncertainty as to the relative impact of the dif-
ferent feedback mechanisms. One way of assessing this is to compare
the pressures associated with each process in a particular star-forming
region. This has been done for a variety of H ii regions in the Small
and Large Magellanic Clouds (SMC and LMC, respectively; Lopez
et al. 2011; Pellegrini et al. 2011; Lopez et al. 2014; McLeod et al.
2019), in the Galactic Centre (Barnes et al. 2020), and more recently
in the Galactic disc (Olivier et al. 2020, submitted). Most regions
in these studies show low levels of radiation pressure compared to
the thermal pressure from ionized gas, while other regions (typically
the smaller ones) show the opposite result. This can also vary as a
function of distance from the stellar sources, as in 30 Doradus in the",8,TeXGyreTermesX-Regular,,824,71
★,6,NewTXMI5,,1,1
E-mail: A.Ali2@exeter.ac.uk,7,TeXGyreTermesX-Regular,,27,27
©,7,TeXGyreTermes-Regular,,1,1
2020 The Authors,7,TeXGyreTermesX-Regular,,16,16
"LMC, where the inner region is dominated by radiation pressure and
the outer parts by ionization.",8,TeXGyreTermesX-Regular,,97,66
"One parameter that could modify the eﬀectiveness of feedback is
the metallicity,",8,TeXGyreTermesX-Regular,,80,63
𝑍,8,NewTXMI,,1,1
". The LMC and SMC have sub-solar metallicities
with",8,TeXGyreTermesX-Regular,,51,46
𝑍,8,NewTXMI,,1,1
≈,8,txsys,,1,1
0,8,TeXGyreTermesX-Regular,,1,1
.,8,NewTXMI,,1,1
5 Z,8,TeXGyreTermesX-Regular,,3,3
,7,txsys,,0,0
and 0,8,TeXGyreTermesX-Regular,,5,5
.,8,NewTXMI,,1,1
2 Z,8,TeXGyreTermesX-Regular,,3,3
,7,txsys,,0,0
", respectively (Russell & Dopita 1992).
Observations show that metallicity varies within the Milky Way, de-
creasing with distance from the Galactic Centre where",8,TeXGyreTermesX-Regular,,161,67
𝑍,8,NewTXMI,,1,1
≈,8,txsys,,1,1
2 Z,8,TeXGyreTermesX-Regular,,3,3
,7,txsys,,0,0
"(Deharveng et al. 2000). This will factor into radiative transfer pro-
cesses. The dominant cooling sources for ionized gas are collision-
ally excited forbidden lines from metal ions (Osterbrock & Ferland
2006). The dust-to-gas ratio is proportional to metallicity (Draine
et al. 2007), and radiation pressure is exerted primarily onto dust
grains which can be dynamically coupled to the gas. Furthermore,
the heating/cooling processes of dust grains can inhibit fragmen-
tation around protostars (Krumholz et al. 2007; Bate 2009; Oﬀner
et al. 2009), and scaling this with metallicity can alter the density and
temperature structure even in low-mass clusters (Bate 2019). When
considering feedback from massive stars, changing the metallicity
and dust fraction can modify the D-type expansion of H ii regions.
Haworth et al. (2015) investigated this with detailed photoionization
modelling in 1D, with a single ionizing source in a uniform-density
medium. Including dust grains resulted in the attenuation of ionizing
radiation, which made the H ii region smaller compared to the model
without dust. A higher gas metallicity resulted in a lower electron
temperature, decreasing the expansion rate of H ii regions. Apply-
ing this in 3D to turbulent star-forming regions could provide key",8,TeXGyreTermesX-Regular,,1288,73
2,11,TeXGyreTermesX-Regular,,1,1
A. A. Ali,11,TeXGyreTermesX-Italic,,9,9
"information for interpreting the observations which probe diﬀerent
metallicity environments.",8,TeXGyreTermesX-Regular,,92,66
"Over the last decade and a half, there has been a growing body
of work in 3D simulations of photoionization to investigate star for-
mation and gas dynamics (including but not limited to Dale et al.
2005; Mellema et al. 2006; Peters et al. 2010; Arthur et al. 2011;
Dale et al. 2012; Walch et al. 2012; Colín et al. 2013; Geen et al.
2015; Howard et al. 2016; Gavagnin et al. 2017; Ali et al. 2018;
Kim et al. 2018; Zamora-Avilés et al. 2019; Vandenbroucke & Wood
2019; Bending et al. 2020; Fukushima et al. 2020; Sartorio et al.
2021). Models span a wide range of initial cloud conditions across
mass, density, morphology, turbulence, and stellar population. In
general, SFEs are reduced by the impact of photoionization com-
pared to hydrodynamics-only runs, with some calculations showing
only a modest reduction (e.g. Dale et al. 2014; Howard et al. 2017)
while others reach the low values seen in the Milky Way (e.g. Geen
et al. 2017).",8,TeXGyreTermesX-Regular,,940,69
Radiation pressure is now routinely included in models of massive,8,TeXGyreTermesX-Regular,,65,65
star formation on the scale of individual cores (Krumholz et al. 2009;,8,TeXGyreTermesX-Regular,,70,70
"Kuiper et al. 2010; Harries et al. 2017; Rosen et al. 2019; Mignon-
Risse et al. 2020) and implementations are becoming more common
for the cluster/GMC scale. For example, radiation pressure has been
investigated on its own (Skinner & Ostriker 2015; Tsang & Milosavl-
jević 2018) and in conjunction with photoionization (Howard et al.
2016, 2017; Kim et al. 2018; Ali et al. 2018; Ali & Harries 2019;
Fukushima et al. 2020). Overall, radiation pressure appears to be a
secondary eﬀect at the GMC scale, except possibly at the highest
masses/luminosities/surface densities where it becomes more impor-
tant (Fall et al. 2010; Howard et al. 2018).",8,TeXGyreTermesX-Regular,,645,67
"However, radiative transfer methods for photoionization are often
simpliﬁed by prescribing a single temperature for ionized gas, using
the on-the-spot approximation, or neglecting dust which absorbs UV
radiation and reprocesses it into the IR. Models which include ra-
diation pressure typically only use",8,TeXGyreTermesX-Regular,,304,68
∼,8,txsys,,1,1
"2 frequency bins (e.g. ionizing
and non-ionizing photons), use an average dust opacity, and neglect
the pressure from either direct (stellar) radiation or indirect (dust-
processed) radiation, depending on the regime of interest. This does
not accurately capture all the microphysics, as wavelength-dependent
dust opacities span many orders of magnitude, and dust-processed
radiation may undergo multiple absorption/re-emission/scattering
events that can particularly aﬀect high-surface density gas (Crocker",8,TeXGyreTermesX-Regular,,507,70
"et al. 2018). Likewise, for photoionization, the presence of diﬀuse
ionizing radiation and dust absorption can change the size and mor-
phology of H ii regions (Ercolano & Gritschneder 2011; Haworth
& Harries 2012; Haworth et al. 2015). Furthermore, capturing the
metallicity-dependence of the electron temperature requires comput-
ing heating/cooling rates which take into account metal ions.",8,TeXGyreTermesX-Regular,,393,67
"In previously published models (Ali et al. 2018; Ali & Harries
2019), we included these processes using a detailed Monte Carlo
radiative transfer scheme for clouds of 10",8,TeXGyreTermesX-Regular,,169,63
3,7,TeXGyreTermesX-Regular,,1,1
and 10,8,TeXGyreTermesX-Regular,,6,6
4,7,TeXGyreTermesX-Regular,,1,1
M,8,TeXGyreTermesX-Regular,,1,1
,7,txsys,,0,0
"and a single
massive star. In this paper, we model a 10",8,TeXGyreTermesX-Regular,,55,42
5,7,TeXGyreTermesX-Regular,,1,1
M,8,TeXGyreTermesX-Regular,,1,1
,7,txsys,,0,0
cloud with,8,TeXGyreTermesX-Regular,,10,10
𝑍,8,NewTXMI,,1,1
/,8,txsys,,1,1
Z,8,TeXGyreTermesX-Regular,,1,1
,7,txsys,,0,0
=,8,txmiaX,,1,1
"0.1, 0.5, 1, and 2, with dust-to-gas ratio scaling linearly with",8,TeXGyreTermesX-Regular,,64,64
𝑍,8,NewTXMI,,1,1
". We
have extended the method to track star formation using cluster-sink
particles which form on the ﬂy, accrete gas, and sample stars from
an initial mass function. They emit photon packets from across the
spectrum which then propagate through gas/dust in the interstellar
medium. We detail the numerical methods in section 2, go through
the results in section 3, discuss them in section 4, and conclude in
section 5.",8,TeXGyreTermesX-Regular,,418,68
MNRAS,7,TeXGyreTermesX-Regular,,5,5
000,7,TeXGyreTermesX-Bold,,3,3
", 1–13 (2020)",7,TeXGyreTermesX-Regular,,13,13
Figure 1.,7,TeXGyreTermesX-Bold,,9,9
"Dust opacities used in torus as a function of wavelength and metal-
licity",7,TeXGyreTermesX-Regular,,74,67
𝑍,7,NewTXMI7,,1,1
". Also marked are the upper limits of the extreme and far ultraviolet
(EUV, FUV, respectively).",7,TeXGyreTermesX-Regular,,95,69
Table 1.,7,TeXGyreTermesX-Bold,,8,8
"Abundances at solar metallicity (Asplund et al. 2009) and ion states
used in the photoionization scheme",7,TeXGyreTermesX-Regular,,103,68
"Element
Hydrogen
Helium
Carbon
Nitrogen
Oxygen
Neon
Sulphur",7,TeXGyreTermesX-Regular,,59,8
𝑁,7,NewTXMI7,,1,1
𝑋,6,NewTXMI5,,1,1
/,7,txsys,,1,1
𝑁,7,NewTXMI7,,1,1
H,6,TeXGyreTermesX-Regular,,1,1
"1
8",7,TeXGyreTermesX-Regular,,3,1
.,7,NewTXMI7,,1,1
5,7,TeXGyreTermesX-Regular,,1,1
×,7,txsys,,1,1
10,7,TeXGyreTermesX-Regular,,2,2
−,6,txsys,,1,1
2,6,TeXGyreTermesX-Regular,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
.,7,NewTXMI7,,1,1
7,7,TeXGyreTermesX-Regular,,1,1
×,7,txsys,,1,1
10,7,TeXGyreTermesX-Regular,,2,2
−,6,txsys,,1,1
4,6,TeXGyreTermesX-Regular,,1,1
6,7,TeXGyreTermesX-Regular,,1,1
.,7,NewTXMI7,,1,1
8,7,TeXGyreTermesX-Regular,,1,1
×,7,txsys,,1,1
10,7,TeXGyreTermesX-Regular,,2,2
−,6,txsys,,1,1
5,6,TeXGyreTermesX-Regular,,1,1
4,7,TeXGyreTermesX-Regular,,1,1
.,7,NewTXMI7,,1,1
9,7,TeXGyreTermesX-Regular,,1,1
×,7,txsys,,1,1
10,7,TeXGyreTermesX-Regular,,2,2
−,6,txsys,,1,1
4,6,TeXGyreTermesX-Regular,,1,1
8,7,TeXGyreTermesX-Regular,,1,1
.,7,NewTXMI7,,1,1
5,7,TeXGyreTermesX-Regular,,1,1
×,7,txsys,,1,1
10,7,TeXGyreTermesX-Regular,,2,2
−,6,txsys,,1,1
5,6,TeXGyreTermesX-Regular,,1,1
1,7,TeXGyreTermesX-Regular,,1,1
.,7,NewTXMI7,,1,1
3,7,TeXGyreTermesX-Regular,,1,1
×,7,txsys,,1,1
10,7,TeXGyreTermesX-Regular,,2,2
−,6,txsys,,1,1
5,6,TeXGyreTermesX-Regular,,1,1
"Ion states
I–II
I–III
I–IV
I–III
I–III
I–III
I–IV",7,TeXGyreTermesX-Regular,,49,10
2 NUMERICAL METHODS,8,TeXGyreTermesX-Bold,,19,19
"We use the torus code, which couples Monte Carlo radiative trans-
fer (MCRT) with hydrodynamics on a 3D grid (for a full description
of the code, see Harries et al. 2019). We use the same methods
as Ali et al. (2018) and Ali & Harries (2019), with diﬀerent ini-
tial conditions and the addition of a cluster-sink particle approach
detailed in section 2.1. As a summary, the hydrodynamics scheme",8,TeXGyreTermesX-Regular,,394,68
"is ﬂux conserving, ﬁnite volume, and total variation diminishing.
Poisson’s equation for self-gravity is calculated using a V-cycling
multigrid method with Dirichlet boundary conditions based on a
multipole expansion. Gas can ﬂow out of the grid but not in. The
hydrodynamics evolves isothermally, with temperatures set by an
MCRT calculation at the beginning of each time step. The MCRT
scheme is based on the method of Lucy (1999). The source luminos-
ity is split into photon packets which propagate through the medium,
undergoing absorption/re-emission/scattering events until they exit
the grid. Photoionization equilibrium is computed for the ion states
listed in Table 1 using the method described by Haworth & Harries
(2012), with abundances scaling linearly with metallicity. Photon
wavelengths are interpolated from 1000 logarithmically spaced bins
between 10",8,TeXGyreTermesX-Regular,,869,68
2,7,TeXGyreTermesX-Regular,,1,1
and 10,8,TeXGyreTermesX-Regular,,6,6
7,7,TeXGyreTermesX-Regular,,1,1
"Å. The MCRT scheme therefore follows the
diﬀuse radiation ﬁeld as well as the stellar radiation ﬁeld, including
ionizing photons re-emitted by gas, and photons reprocessed by dust.
The method naturally takes into account shadowed regions, penetra-
tion of shadows by diﬀuse radiation, and radiation hardening. We
use Draine & Lee (1984) silicate grains with an MRN (Mathis et al.",8,TeXGyreTermesX-Regular,,379,70
10,5,DejaVuSans,,2,2
2,3,DejaVuSans,,1,1
10,5,DejaVuSans,,2,2
3,3,DejaVuSans,,1,1
10,5,DejaVuSans,,2,2
4,3,DejaVuSans,,1,1
10,5,DejaVuSans,,2,2
5,3,DejaVuSans,,1,1
10,5,DejaVuSans,,2,2
6,3,DejaVuSans,,1,1
10,5,DejaVuSans,,2,2
7,3,DejaVuSans,,1,1
"wavelength (Å)

10",5,DejaVuSans,,18,14
1,3,DejaVuSans,,1,1
10,5,DejaVuSans,,2,2
0,3,DejaVuSans,,1,1
10,5,DejaVuSans,,2,2
1,3,DejaVuSans,,1,1
10,5,DejaVuSans,,2,2
2,3,DejaVuSans,,1,1
10,5,DejaVuSans,,2,2
3,3,DejaVuSans,,1,1
d,3,DejaVuSans,,1,1
u,3,DejaVuSans,,1,1
s,2,DejaVuSans,,1,1
t,2,DejaVuSans,,1,1
,1,DejaVuSans,,0,0
o,3,DejaVuSans,,1,1
p,3,DejaVuSans,,1,1
a,3,DejaVuSans,,1,1
c,3,DejaVuSans,,1,1
i,1,DejaVuSans,,1,1
t,2,DejaVuSans,,1,1
y,3,DejaVuSans,,1,1
,1,DejaVuSans,,0,0
(,2,DejaVuSans,,1,1
c,3,DejaVuSans,,1,1
m,5,DejaVuSans,,1,1
2,2,DejaVuSans,,1,1
g,3,DejaVuSans,,1,1
1,2,DejaVuSans,,1,1
),2,DejaVuSans,,1,1
"EUVFUV
Z/Zsol
2
1
0.5
0.1",5,DejaVuSans,,25,6
"1977) density distribution,",8,TeXGyreTermesX-Regular,,27,27
𝑛,8,NewTXMI,,1,1
(,8,txsys,,1,1
𝑎,8,NewTXMI,,1,1
) ∝,8,txsys,,3,3
𝑎,8,NewTXMI,,1,1
−,7,txsys,,1,1
3,7,TeXGyreTermesX-Regular,,1,1
.,7,NewTXMI7,,1,1
5,7,TeXGyreTermesX-Regular,,1,1
Table 2.,7,TeXGyreTermesX-Bold,,8,8
Model parameters,7,TeXGyreTermesX-Regular,,16,16
(1),8,TeXGyreTermesX-Regular,,3,3
where the grain size,8,TeXGyreTermesX-Regular,,20,20
𝑎,8,NewTXMI,,1,1
is between 0.005 and 0,8,TeXGyreTermesX-Regular,,22,22
.,8,NewTXMI,,1,1
25,8,TeXGyreTermesX-Regular,,2,2
µ,8,TeXGyreTermes-Regular,,1,1
"m. The dust
opacity is plotted in Fig. 1. We do not include dust destruction,
as on GMC scales this occurs primarily through supernova shocks
(Jones 2004). We assume the dust is dynamically well-coupled to
the gas. Elemental abundances at solar metallicity are taken from
Asplund et al. (2009) and are listed in Table 1. Thermal balance
between photon absorption and thermal emission provides the dust
temperature. This is connected to the gas temperature by a collisional
heat exchange rate from Hollenbach & McKee (1979),",8,TeXGyreTermesX-Regular,,523,70
Γ,8,txmiaX,,1,1
gas-dust,7,TeXGyreTermesX-Regular,,8,8
=,8,txmiaX,,1,1
2,8,TeXGyreTermesX-Regular,,1,1
𝑓 𝑛,8,NewTXMI,,3,3
H,7,TeXGyreTermesX-Regular,,1,1
𝑛,8,NewTXMI,,1,1
d,7,TeXGyreTermesX-Regular,,1,1
𝜎,8,NewTXMI,,1,1
d,7,TeXGyreTermesX-Regular,,1,1
𝑣,8,NewTXMI,,1,1
p,7,TeXGyreTermesX-Regular,,1,1
𝑘,8,NewTXMI,,1,1
B,7,TeXGyreTermesX-Regular,,1,1
(,8,txsys,,1,1
𝑇,8,NewTXMI,,1,1
−,8,txsys,,1,1
𝑇,8,NewTXMI,,1,1
d,7,TeXGyreTermesX-Regular,,1,1
),8,txsys,,1,1
"(2)
where",8,TeXGyreTermesX-Regular,,9,5
𝑇,8,NewTXMI,,1,1
d,7,TeXGyreTermesX-Regular,,1,1
",",8,TeXGyreTermesX-Regular,,1,1
𝑛,8,NewTXMI,,1,1
d,7,TeXGyreTermesX-Regular,,1,1
",",8,TeXGyreTermesX-Regular,,1,1
𝜎,8,NewTXMI,,1,1
d,7,TeXGyreTermesX-Regular,,1,1
", are the dust temperature, number density, and
cross-section respectively,",8,TeXGyreTermesX-Regular,,75,47
𝑇,8,NewTXMI,,1,1
"is the gas temperature,",8,TeXGyreTermesX-Regular,,23,23
𝑣,8,NewTXMI,,1,1
p,7,TeXGyreTermesX-Regular,,1,1
"is the thermal
speed of protons at",8,TeXGyreTermesX-Regular,,34,19
𝑇,8,NewTXMI,,1,1
", and",8,TeXGyreTermesX-Regular,,5,5
𝑓,8,NewTXMI,,1,1
is a factor which depends on,8,TeXGyreTermesX-Regular,,28,28
𝑇,8,NewTXMI,,1,1
"and the
ionization fraction. The gas thermal balance uses heating rates from
H and He photoionization, cooling from H and He recomination",8,TeXGyreTermesX-Regular,,137,68
"lines, collisionally excited lines from H and metals, and free-free",8,TeXGyreTermesX-Regular,,67,67
"continuum. This takes into account the frequency dependence of the
stellar spectra and diﬀuse radiation ﬁeld. The momentum-transfer
method of Harries (2015) provides a value for the radiation pressure,
which is added onto the momentum equation in the hydrodynamics
step. We do not include magnetic ﬁelds in these models.",8,TeXGyreTermesX-Regular,,320,69
2.1 Cluster-sink particles,8,TeXGyreTermesX-Bold,,26,26
"We use the sink particle algorithm described by Harries (2015) which
uses formation criteria based on Federrath et al. (2010). Due to the
spatial resolution of the calculations we present here, we do not follow
the formation of individual stars, so we have extended the method
to make sink particles represent clusters or sub-clusters. Sinks are
formed above a density threshold of 10",8,TeXGyreTermesX-Regular,,384,72
4,7,TeXGyreTermesX-Regular,,1,1
cm,8,TeXGyreTermesX-Regular,,2,2
−,7,txsys,,1,1
3,7,TeXGyreTermesX-Regular,,1,1
", which corresponds
to the density above which stars are observed to form in cores in the
Galactic disc (Lada & Lada 2003; Barnes et al. 2019 and references
therein; see also Howard et al. 2014 who use this criterion with a
similar method in their simulations).",8,TeXGyreTermesX-Regular,,261,69
"Before starting the simulations, we pre-tabulate a list of stars by
randomly sampling from a Chabrier (2003) initial mass function
(IMF) up to a total of 10",8,TeXGyreTermesX-Regular,,156,67
5,7,TeXGyreTermesX-Regular,,1,1
M,8,TeXGyreTermesX-Regular,,1,1
,7,txsys,,0,0
". This is similar to the method by Geen
et al. (2018), but we retain the stars below 8 M",8,TeXGyreTermesX-Regular,,88,48
,7,txsys,,0,0
"as well. We use the
same pre-tabulated IMF for every model. Each sink has a reservoir of",8,TeXGyreTermesX-Regular,,88,68
"mass available for star formation which is replenished by accretion
onto the sink. The sink mass gets converted into a stellar population
with an eﬃciency",8,TeXGyreTermesX-Regular,,154,69
𝜖,8,NewTXMI,,1,1
=,8,txmiaX,,1,1
0,8,TeXGyreTermesX-Regular,,1,1
.,8,NewTXMI,,1,1
"3, such that the reservoir mass",8,TeXGyreTermesX-Regular,,31,31
𝑀,8,NewTXMI,,1,1
reservoir,7,TeXGyreTermesX-Regular,,9,9
=,8,txmiaX,,1,1
𝜖 𝑀,8,NewTXMI,,3,3
sink,7,TeXGyreTermesX-Regular,,4,4
−,8,txsys,,1,1
,8,txexs,,0,0
𝑀,8,NewTXMI,,1,1
∗,7,txsys,,1,1
", where",8,TeXGyreTermesX-Regular,,7,7
𝑀,8,NewTXMI,,1,1
∗,7,txsys,,1,1
"are the individual stellar masses in that
sink. The value of",8,TeXGyreTermesX-Regular,,60,41
𝜖,8,NewTXMI,,1,1
"is based on observational constraints from Lada
& Lada (2003); the simulations by Howard et al. (2014) use a similar
approach with an eﬃciency of 0.2 per free-fall time. After each
hydrodynamical time step, we check which reservoirs are massive
enough to take the next star oﬀ the list and select one of those at
random. The stellar mass is subtracted from the reservoir, and the
process continues down the list until no sink reservoirs are massive
enough.",8,TeXGyreTermesX-Regular,,456,68
"While the position and velocity of each star simply follow the par-
ent sink particle, other stellar properties including mass, radius, and
luminosity vary independently with time. These evolve using inter-
polated values from the MESA Isochrones & Stellar Tracks (MIST;
Choi et al. 2016) with rotational parameter",8,TeXGyreTermesX-Regular,,314,71
𝑣,8,NewTXMI,,1,1
/,8,txsys,,1,1
𝑣,8,NewTXMI,,1,1
crit,7,TeXGyreTermesX-Regular,,4,4
=,8,txmiaX,,1,1
"0 and metallicity
[Fe/H] following the gas metallicity set in the initial conditions (sec-
tion 2.2). A sink is allowed to radiate after it is populated with a star",8,TeXGyreTermesX-Regular,,164,73
The growth of H ii regions around massive stars,11,TeXGyreTermesX-Italic,,47,47
3,11,TeXGyreTermesX-Regular,,1,1
"Model
z2
z1
z0.5
z0.1
z1_norp
z1_norp_nodust
hydro",7,TeXGyreTermesX-Regular,,50,14
𝑍,7,NewTXMI7,,1,1
(Z,7,TeXGyreTermesX-Regular,,2,2
,6,txsys,,0,0
")
2
1
0.5
0.1
1
1
n/a",7,TeXGyreTermesX-Regular,,21,3
"dust/gas
0.02
0.01
0.005
0.001
0.01
10",7,TeXGyreTermesX-Regular,,38,8
−,6,txsys,,1,1
20,6,TeXGyreTermesX-Regular,,2,2
n/a,7,TeXGyreTermesX-Regular,,3,3
ionization,7,TeXGyreTermesX-Regular,,10,10
"




",7,txsya,,5,0
